id,front,back,entry_type
slovak-0087,pekný; -á; -é,nice; pretty; lovely,term
slovak-0088,rieka,river,term
slovak-0089,špinavý; -á; -é,dirty,term
slovak-0090,starý; -á; -é,old,term
slovak-0091,tam,there,term
slovak-0092,učitel',male teacher,term
slovak-0093,učitel'ka,female teacher,term
slovak-0094,vel'mi,very,term
slovak-0095,vl'avo,on the left,term
slovak-0096,voda,water,term
slovak-0097,vpravo,on the right,term
slovak-0098,vel'ký,big,term
slovak-0099,malý,small,term
slovak-0100,nový,new,term
slovak-0101,mladý,young,term
slovak-0102,dobrý,good,term
slovak-0103,zlý,bad,term
slovak-0104,krásny,beautiful,term
slovak-0105,škaredý,ugly,term
slovak-0106,čakat',to wait,term
slovak-0107,čakám,I am waiting,term
slovak-0108,čakáš,you are waiting,term
slovak-0109,čakáme,we are waiting,term
slovak-0110,čakáte,you are waiting,term
slovak-0111,čakáju,they are waiting,term
slovak-0112,bývat',to live; reside,term
slovak-0113,bývate tu?,do you live here?,sentence
slovak-0114,nie; ja tu nebývam,no; I don't live here,term
slovak-0115,nie dnes; ale zajtra,not today; but tomorrow,term
slovak-0116,volat',to call,term
slovak-0117,volám sa,I call myself,sentence
slovak-0118,voláš sa,you call yourself,sentence
slovak-0119,voláme sa,we call ourselves,sentence
slovak-0120,voláte sa,you call yourselves,sentence
slovak-0121,voláju sa,they call themselves,sentence
slovak-0122,mat' sa,to be feeling,term
slovak-0123,ako sa máte?,how are you?,sentence
slovak-0124,d'akujem,thank you,term
slovak-0125,mám sa dobre,I am feeling well,sentence
slovak-0126,zle,badly,term
slovak-0127,ujde to,not too bad; ok,term
slovak-0128,prosím,please,term
slovak-0129,prosím si … ,please may I have … ,term
slovak-0130,čaj; prosím,tea; please,term
slovak-0131,vd'aka,thanks,term
slovak-0132,nech sa páči,you're welcome,sentence
slovak-0133,dlho,for a long time,term
slovak-0134,krátko,for a short time,term
slovak-0135,list,a letter,term
slovak-0136,nech sa páči,please; help yourself,term
slovak-0137,ahoj,hi; bye,term
slovak-0138,ale,but,term
slovak-0139,chlap,bloke; guy; man,term
slovak-0140,silný,strong,term
slovak-0141,št'astie,luck; happiness,term
slovak-0142,taxík,taxi,term
slovak-0143,t'ažký,heavy,term
slovak-0144,tiež,also; likewise,term
slovak-0145,tiež ne-,also not; not … either,term
slovak-0146,máme št'astie,we are lucky,sentence
slovak-0147,nemáš,you don't have,term
slovak-0148,a,and,term
slovak-0149,čakám na,I am waiting for,sentence
slovak-0150,čo robíš?,what are you (s) doing?,sentence
slovak-0151,robit',to do; make,term
slovak-0152,fajčit',to smoke,term
slovak-0153,hrat' (sa),to play,term
slovak-0154,je tu pekne,it is nice here,sentence
slovak-0155,obed,lunch,term
slovak-0156,pán … ,Mr …,term
slovak-0157,vśak,however; isn't it?,term
slovak-0158,alebo,or,term
slovak-0159,asi,probably,term
slovak-0160,brat,brother,term
slovak-0161,čítat',to read,term
slovak-0162,doma,at home,term
slovak-0163,hádam,probably; I guess,term
slovak-0164,pani … ,Mrs … ,term
slovak-0165,počúvat',to listen to,term
slovak-0166,rádip,radio,term
slovak-0167,sediet',to sit,term
slovak-0168,sestra,sister,term
slovak-0169,spat',to sleep,term
slovak-0170,tvoj; tvoja; tvoje,your (s),term
slovak-0171,učit' sa,to study; teach self,term
slovak-0172,varit',to cook,term
slovak-0173,vieš,you know,term
slovak-0174,vediet',to know,term
slovak-0175,robím,I do,term
slovak-0176,robíš,you (s) do,term
slovak-0177,robí,he does,term
slovak-0178,robíme,we do,term
slovak-0179,robíte,you (pl) do,term
slovak-0180,robía,they do,term
slovak-0181,učím sa slovenčinu,I am studying Slovak,sentence
slovak-0182,pýtam sa; kde je Peter,I am asking where Peter is,sentence
slovak-0183,môj; moja; moje,my,term
slovak-0184,váš; vaša; vaše,your (pl),term
slovak-0185,jeho,his; its,term
slovak-0186,jej,her,term
slovak-0187,ich,their,term
slovak-0188,aký,what kind of?,term
slovak-0189,futball,football,term
slovak-0190,chorý,ill; sick,term
slovak-0191,ked',when,term
slovak-0192,len,only,term
slovak-0193,lenivý,lazy,term
slovak-0194,má rád / rada,he / she likes,sentence
slovak-0195,musí,he / she has to; must,term
slovak-0196,musiet',to have to,term
slovak-0197,nejaký,some; some kind of,term
slovak-0198,niekedy,sometimes,term
slovak-0199,plávat',to swim,term
slovak-0200,šport,sport,term
slovak-0201,tenis,tennis,term
slovak-0202,viete,you (pl) know,term
slovak-0203,volejbal,volleyball,term
slovak-0204,mat' rád,to like,term
slovak-0205,Viera má rada vodu,Viera likes water,term
slovak-0206,rád plávam,I like swimming,sentence
slovak-0207,nerada číta,she doesn't like reading,sentence
slovak-0208,diet'a má vodu rado,the child loves water,term
slovak-0209,radi spia,they (m) like sleeping,sentence
slovak-0210,rady spia,they (f) like sleeping,sentence
slovak-0211,musím varit' obed,I have to cook lunch,sentence
slovak-0212,nemusíte hrat' futbal,you don't have to play football,sentence
slovak-0213,viem,I know,term
slovak-0214,vie,he / she knows,term
slovak-0215,vieme,we know,term
slovak-0216,viete,you (pl) know,term
slovak-0217,vedia,they know,term
slovak-0218,neviete; kde je pán Kováč?,don't you know where Mr Kovac is?,sentence
slovak-0219,nevedia; kto je pán Kováč?,they don't know who Mr Kovac is,sentence
slovak-0220,vieme; čo robíme,we know what we are doing,sentence
slovak-0221,pán Kováč nevie varit',Mr Kovac doesn't know how to cook,term
slovak-0222,Viera vie hrat' hokej,Viera knows how to play hockey,term
slovak-0223,po slovensky,Slovak language (object),term
slovak-0224,po anglicky,English language (object),term
slovak-0225,po nemecky,German language (object),term
slovak-0226,po česky,Czech language (object),term
slovak-0227,po mad'arsky,Hungarian language (object),term
slovak-0228,po pol'sky,Polish language (object),term
slovak-0229,po rusky,Russian language (object),term
slovak-0230,po francúzsky,French language (object),term
slovak-0231,pán Kováč vie len po slovensky,Mr Kovac only knows Slovak,term
slovak-0232,ale Viera vie po anglicky,but Viera knows English,term
slovak-0233,hovorit',to speak,term
slovak-0234,Ján hovori a číta po nemecky,Jan speaks and reads German,term
slovak-0235,slovenský list,a Slovak letter,term
slovak-0236,anglická kniha,an English book,term
slovak-0237,ruský román,a Russian novel,term
slovak-0238,jazyk,language; tongue,term
slovak-0239,rozumiet',to understand,term
slovak-0240,rosumiete po slovensky?,do you understand Slovak?,sentence
slovak-0241,nerozumejú po anglicky,they don't understand English,sentence
slovak-0242,dva hrady,two castles,term
slovak-0243,slovenčina,Slovak language (noun),term
slovak-0244,angličtina,English language (noun),term
slovak-0245,nemčina,German language (noun),term
slovak-0246,čeština,Czech language (noun),term
slovak-0247,mad'arčina,Hungarian language (noun),term
slovak-0248,pol'ština,Polish language (noun),term
slovak-0249,ruština,Russian language (noun),term
slovak-0250,francúzština,French language (noun),term
slovak-0251,čas,time,term
slovak-0252,karty,cards,term
slovak-0253,pozerat',to watch; look at,term
slovak-0254,pozerám televíziu,I watch TV,sentence
slovak-0255,televízia; -u,television,term
slovak-0256,trochu,a little,term
slovak-0257,umenie,art,term
slovak-0258,vol'ný,free,term
slovak-0259,čo robíš; ked' máš vol'ný čas?,what do you do; when you have some free time?,sentence
slovak-0260,máš rada nejaký šport?,do you like any sport?,sentence
slovak-0261,behat',to run,term
slovak-0262,hokej,ice hockey,term
slovak-0263,chcem,I want,term
slovak-0264,chodit' na prechádzky,to go for walks,term
slovak-0265,poznat',to know (a person; place),term
slovak-0266,prečo?,why?,term
slovak-0267,pretože,because,term
slovak-0268,pýtat' sa,to ask,term
slovak-0269,športovec,a sportsman,term
slovak-0270,športovkyňa,a sportswoman,term
slovak-0271,teda,then; in that case,term
slovak-0272,voda; -u,water,term
slovak-0273,prečo sa pýtaš?,why do you ask?,sentence
slovak-0274,pretože to chcem vediet',because I want to know,term
slovak-0275,rodina,family,term
slovak-0276,žena,woman; wife,term
slovak-0277,muž,man; husband,term
slovak-0278,chlapec,boy,term
slovak-0279,matka,mother,term
slovak-0280,otec,father,term
slovak-0281,dcéra,daughter,term
slovak-0282,syn,son,term
slovak-0283,teta,aunt,term
slovak-0284,strýko,uncle,term
slovak-0285,stará matka,grandmother,term
slovak-0286,starý otec,grandfather,term
slovak-0287,vnučka,granddaughter,term
slovak-0288,vnuk,grandson,term
slovak-0289,rodič(ia),parent(s),term
slovak-0290,starí rodičia,grandparents,term
slovak-0291,manželka,female spouse,term
slovak-0292,manžel,male spouse,term
slovak-0293,manželia,spouses; couple,term
slovak-0294,deti,children,term
slovak-0295,príbuzný; -á,a relative,term
slovak-0296,mama/mami; mamka,mum,term
slovak-0297,otecko; ocko,dad,term
slovak-0298,stará mama; babka,granny,term
slovak-0299,dedo; dedko,grandpa,term
slovak-0300,otec varí,father is cooking,term
slovak-0301,večera je dobrá,the supper is good,term
slovak-0302,otec vari večeru,father is cooking supper,term
slovak-0303,nemáme vodu,we don't have any water,sentence
slovak-0304,Jana vidí Vieru,Jana sees Viera,term
slovak-0305,kolega,a colleague (m),term
slovak-0306,vidíme kolegu,we see a colleague,sentence
slovak-0307,nemám brata,I don't have a brother,sentence
slovak-0308,na + acc,onto; for a purpose,term
slovak-0309,čakám na Petra,I am waiting for Peter,sentence
slovak-0310,pre + acc,for the benefit of,term
slovak-0311,cez + acc,through; across,term
slovak-0312,dávam obed na stôl,I give/put lunch on the table,sentence
slovak-0313,to je kniha pre Igora,that is a book for Igor,sentence
slovak-0314,most cez rieku,a bridge across the river,term
slovak-0315,pozerám cez okno,I look through the window,sentence
slovak-0316,cez deň čítam,through (during) the day I read,term
slovak-0317,poznáte Bratislavu?,do you know Bratislava?,sentence
slovak-0318,Štefana nepoznáte,you don't know Stefan,sentence
slovak-0319,adresa,address,term
slovak-0320,či,if; whether,term
slovak-0321,hl'adat',to look for,term
slovak-0322,koho,whom?,term
slovak-0323,náhodou,by chance; maybe,term
slovak-0324,niekoho,someone (acc),term
slovak-0325,prepáčte,excuse me,term
slovak-0326,správny,correct; right,term
slovak-0327,študent,student,term
slovak-0328,výslovnost',pronunciation,term
slovak-0329,to je dobrú vodu,that is good water,sentence
slovak-0330,máme dobrého otca,we have a good father,sentence
slovak-0331,to je správna adresa,that is the correct address,sentence
slovak-0332,kto je to?,who is it?,sentence
slovak-0333,koho hl'adáš?,for whom are you looking?,sentence
slovak-0334,je tam niekto?,is someone there?,sentence
slovak-0335,hl'adám niekoho,I'm looking for someone ,sentence
slovak-0336,mám brata; ktorý sa učí po slovensky,I have a brother who is learning Slovak,sentence
slovak-0337,auto; ktoré má tvoj otec; je vel'mi dobré,The car (which) your father has is very good,term
slovak-0338,ktoré je to auto?,which car is it?,sentence
slovak-0339,americký,american,term
slovak-0340,dávat',to give,term
slovak-0341,chce,he / she wants,term
slovak-0342,inžinier,engineer,term
slovak-0343,ktorý; -á; -é,who (referring to preceding noun),sentence
slovak-0344,literatúra,literature,term
slovak-0345,nás,us,term
slovak-0346,pod'te d'alej,come in,term
slovak-0347,d'alej,further,term
slovak-0348,práve,just; just now,term
slovak-0349,priatel',friend,term
slovak-0350,učit',to teach,term
slovak-0351,už,now; already,term
slovak-0352,ženatý,married,term
slovak-0353,idem do mesta,I'm going to town,sentence
slovak-0354,darček,a present; gift,term
slovak-0355,íst',to go,term
slovak-0356,idem,I go,term
slovak-0357,k Zuzke,to Zuzka's,term
slovak-0358,kam?,where to?,term
slovak-0359,kamarát,a friend,term
slovak-0360,kupovat',to buy,term
slovak-0361,kupojem,I buy,term
slovak-0362,na návšteve,on a visit,term
slovak-0363,na večeru,for dinner,term
slovak-0364,návšteva,a visit,term
slovak-0365,potom,then,term
slovak-0366,škoda,a pity,term
slovak-0367,u kamaráta,at a friend's,term
slovak-0368,v Trnave,in Trnava,term
slovak-0369,byt,a flat; apartment,term
slovak-0370,a tak d'alej,and so on,term
slovak-0371,ekonómia,economics,term
slovak-0372,ešte stále,still,term
slovak-0373,chvíl'u,for a moment,term
slovak-0374,medicína,medicine,term
slovak-0375,medzitým,meanwhile,term
slovak-0376,mesiac,month; moon,term
slovak-0377,nejdeš,you don't go,term
slovak-0378,pracovat',to work,term
slovak-0379,pracujem,I work,term
slovak-0380,Praha,Prague,term
slovak-0381,prázdniny,holidays,term
slovak-0382,robota,work,term
slovak-0383,samoobsluha,supermarket,term
slovak-0384,študovat',to study,term
slovak-0385,teraz,now,term
slovak-0386,upratovat',to tidy (impf),term
slovak-0387,opakovat',to repeat,term
slovak-0388,ide,he / she goes,term
slovak-0389,ideme,we go,term
slovak-0390,idete,you (pl) go,term
slovak-0391,idú,they go,term
slovak-0392,nejst',to not go,term
slovak-0393,nejde domov,he isn't going home,sentence
slovak-0394,ide tam,he is going there,sentence
slovak-0395,ide sem,he is coming here,sentence
slovak-0396,do Bratislavy,into Bratislava,term
slovak-0397,k Bratislave,towards Bratislava,term
slovak-0398,v Bratislave,in Bratislava,term
slovak-0399,za Bratislavou,beyond Bratislava,term
slovak-0400,do + genitive,into,term
slovak-0401,k + dative,towards,term
slovak-0402,v + locative,in,term
slovak-0403,za + instrumental,behind; beyond,term
slovak-0404,do mesta,into the town,term
slovak-0405,k mestu,towards the town,term
slovak-0406,v meste,in the town,term
slovak-0407,za mestom,beyond the town,term
slovak-0408,biely,white,term
slovak-0409,červený,red,term
slovak-0410,jedna; jednu,one,term
slovak-0411,káva,coffee,term
slovak-0412,mlieko,milk,term
slovak-0413,pohár,a glass,term
slovak-0414,pohárik,a small glass,term
slovak-0415,šálka,a cup,term
slovak-0416,víno,wine,term
slovak-0417,zmrzlina,ice cream,term
slovak-0418,želat',to wish,term
slovak-0419,čo si želate?,what do you want?,sentence
slovak-0420,biele alebo červené víno?,white or red wine?,sentence
slovak-0421,mladý pán,a young man,term
slovak-0422,domov,to home,term
slovak-0423,mysliet',to think,term
slovak-0424,myslím,I think,term
slovak-0425,od,from,term
slovak-0426,odkaz,a message,term
slovak-0427,aha; práve ide,ah; here she comes,term
slovak-0428,ju,her (acc),term
slovak-0429,milý,dear,term
slovak-0430,niečo,something,term
slovak-0431,odo mňa,from me,term
slovak-0432,papier,paper,term
slovak-0433,pár slov,a couple of words,term
slovak-0434,park,a park,term
slovak-0435,pero,a pen,term
slovak-0436,potrebovat',to need,term
slovak-0437,potrebujem,I need,term
slovak-0438,písat',to write,term
slovak-0439,píšem,I write,term
slovak-0440,priatel'ka,female friend,term
slovak-0441,smutný,sad,term
slovak-0442,súrne,urgently,term
slovak-0443,totiž,that is to say; you see,term
slovak-0444,vás; vaša,your,term
slovak-0445,vidiet',to see (impf),term
slovak-0446,záhrada,a garden,term
slovak-0447,že,that … ,term
slovak-0448,si,for / to oneself,term
slovak-0449,kupujem si sveter,I buy myself a sweater,sentence
slovak-0450,šálka kávy,a cup of coffee,term
slovak-0451,pohár vody,a glass of water,term
slovak-0452,kus chleba,a piece of bread,term
slovak-0453,pohár mlieka,a glass of milk,term
slovak-0454,chlieb,bread,term
slovak-0455,z auta,out of the car,term
slovak-0456,zo školy,out of school,term
slovak-0457,list od učitel'ky,a letter from a (female) teacher,term
slovak-0458,idú od rieky,they are coming from the river,sentence
slovak-0459,autobus,bus,term
slovak-0460,blízko,near; nearby,term
slovak-0461,cesta,road; journey,term
slovak-0462,diplomová práca,diploma work; thesis,term
slovak-0463,dost',enough; rather,term
slovak-0464,d'aleko,far; far away,term
slovak-0465,električka,tram,term
slovak-0466,hned',at once; immediately,term
slovak-0467,nerád,he doesn't like,term
slovak-0468,nerada,she doesn't like,term
slovak-0469,niekde,somewhere,term
slovak-0470,nový,new,term
slovak-0471,pomoc,help,term
slovak-0472,poobede,in the afternoon; after lunch,term
slovak-0473,predavačka,female sales assistant,term
slovak-0474,predávat',to sell,term
slovak-0475,roh,corner,term
slovak-0476,za rohom,round the corner,term
slovak-0477,spoločný,common; shared,term
slovak-0478,o čom,about what? (loc),term
slovak-0479,herec,an actor,term
slovak-0480,herečka,an actress,term
slovak-0481,chciet',to want,term
slovak-0482,kino,cinema,term
slovak-0483,koncert,a concert,term
slovak-0484,meno,name,term
slovak-0485,so mnou,with me,term
slovak-0486,napínavý,exciting,term
slovak-0487,o + locative,about,term
slovak-0488,obl'úbený,favourite,term
slovak-0489,pamätat',to remember,term
slovak-0490,politika,politics,term
slovak-0491,prezident,president,term
slovak-0492,skvelý,splendid; excellent,term
slovak-0493,ten,this; that (m; nom),term
slovak-0494,večer,in the evening,term
slovak-0495,vraj,apparently; they say,term
slovak-0496,vystupovat',to perform,term
slovak-0497,alkoholik,an alcoholic,term
slovak-0498,ani … ani,neither … nor,term
slovak-0499,čo si dáte?,what will you have?,sentence
slovak-0500,dobrú chut',enjoy your meal!,term
slovak-0501,isteže,certainly,term
slovak-0502,mäso,meat,term
slovak-0503,no dobre!,well; fine,sentence
slovak-0504,omeleta,omelette,term
slovak-0505,na pitie,for / to drink,term
slovak-0506,pivo,beer,term
slovak-0507,čo si prajete?,what do you wish?,sentence
slovak-0508,problém,a problem,term
slovak-0509,ryba,fish,term
slovak-0510,syr,cheese,term
slovak-0511,vajíčko,egg,term
slovak-0512,vegetarián,a vegetarian,term
slovak-0513,ak chceš; môžeš čítat',if you want; you can read,term
slovak-0514,chceme íst' do kina,we want to go to the cinema,sentence
slovak-0515,nechcú íst' domov,they don't want to go home,sentence
slovak-0516,nechcem mlieko; chcem kávu,I don't want milk; I want coffee,sentence
slovak-0517,čo chcete?,what do you want?,sentence
slovak-0518,chcem nový bicykel,I want a new bike,sentence
slovak-0519,želat' si,to wish,term
slovak-0520,priat' si,to wish,term
slovak-0521,prajem si,I wish,sentence
slovak-0522,čo si prajete na obed?,what would you like for lunch?,sentence
slovak-0523,čo si želáte na pitie?,what would you like for a drink?,sentence
slovak-0524,na + locative,on (preposition),term
slovak-0525,pri + locative,beside; near,term
slovak-0526,po + locative,along; after,term
slovak-0527,Igor býva v Prahe,Igor lives in Prague,term
slovak-0528,kniha je na stole,The book is on the table,term
slovak-0529,Anna sedí pri okne,Anna is sitting beside the window,term
slovak-0530,po obede spí,After lunch she sleeps,term
slovak-0531,hovoríme o matke,we are talking about mother,sentence
slovak-0532,vo vode,in the water,term
slovak-0533,ide k stolu,he goes to the table,sentence
slovak-0534,ide ku Katke,she is going to Katka's,sentence
slovak-0535,ideme k bratovi,we are going to my brother's,sentence
slovak-0536,hovoríme o Petrovi,we are talking about Peter,sentence
slovak-0537,dávam Viere knihu,I am giving a book to Viera,sentence
slovak-0538,varím Igorovi obed,I am cooking lunch for Igor,sentence
slovak-0539,pomáhat' + dative,to help,term
slovak-0540,pomáhame otcovi,we are helping father,sentence
slovak-0541,ak,if,term
slovak-0542,často,often,term
slovak-0543,človek,person,term
slovak-0544,dnes,today,term
slovak-0545,gitara,guitar,term
slovak-0546,hotel,hotel,term
slovak-0547,hudba,music,term
slovak-0548,chodit',to walk,term
slovak-0549,inteligentný,intelligent,term
slovak-0550,klavír,piano,term
slovak-0551,lebo,because,term
slovak-0552,l'udový,folk (adj),term
slovak-0553,môct',to be able,term
slovak-0554,môžem,I can,term
slovak-0555,múdry,wise,term
slovak-0556,múzeum,museum,term
slovak-0557,námestie,square (location),term
slovak-0558,obedovat',to have lunch,term
slovak-0559,mám radšej,I prefer; like better,sentence
slovak-0560,rockový,rock music,term
slovak-0561,spievat',to sing,term
slovak-0562,spolu,together,term
slovak-0563,stretávat' sa,to meet (impf),term
slovak-0564,vážny,serious,term
slovak-0565,zaujímavý,interesting,term
slovak-0566,môžeš íst',you can go,sentence
slovak-0567,nemôžem pracovot',I can't work,sentence
slovak-0568,môžeme čakat',we can wait,sentence
slovak-0569,dom,a house,term
slovak-0570,strecha,a roof,term
slovak-0571,dvere,doors,term
slovak-0572,kuchyňa,kitchen,term
slovak-0573,obývačka,living room,term
slovak-0574,jedáleň,dining room,term
slovak-0575,spál'na,bedroom,term
slovak-0576,kúpel'ňya,bathroom,term
slovak-0577,predsieň,hallway,term
slovak-0578,schody,stairs,term
slovak-0579,chladnička,fridge,term
slovak-0580,drez,sink,term
slovak-0581,kohútik,tap,term
slovak-0582,práčka,washing machine,term
slovak-0583,šaty,clothes,term
slovak-0584,vaňa,bath,term
slovak-0585,sprcha,shower,term
slovak-0586,záchod,toilet,term
slovak-0587,stôl,table,term
slovak-0588,stolička,chair,term
slovak-0589,gauč,couch,term
slovak-0590,podlaha,floor,term
slovak-0591,koberec,carpet,term
slovak-0592,stena,wall,term
slovak-0593,unavený,tired,term
slovak-0594,postel',bed,term
slovak-0595,lampa,lamp,term
slovak-0596,skriňa,cupboard; closet,term
slovak-0597,dobrú noc,good night,term
slovak-0598,časopis,magazine,term
slovak-0599,ho,him; it,term
slovak-0600,hodit',to throw,term
slovak-0601,ich,them,term
slovak-0602,kreslo,armchair,term
slovak-0603,ležat',to lie (down),term
slovak-0604,mi,to me; for me,term
slovak-0605,nechávat',to let; leave (impf),term
slovak-0606,strašne,terribly; really,term
slovak-0607,ved',after all,term
slovak-0608,vždy,always,term
slovak-0609,znamenat',to mean,term
slovak-0610,to je ale … ,that's truly a … ,sentence
slovak-0611,dedina,a village,term
slovak-0612,dom,house,term
slovak-0613,fotograf,photographer,term
slovak-0614,fotografia,a photograph,term
slovak-0615,hej,yes (colloquial),term
slovak-0616,hodina,hour,term
slovak-0617,chalupa,cottage,term
slovak-0618,kopec,a hill,term
slovak-0619,kostol,a church,term
slovak-0620,leto,summer,term
slovak-0621,medzi + instrumental,between; among,term
slovak-0622,naozaj,really,term
slovak-0623,pod + instrumental,under; beneath,term
slovak-0624,pol,half,term
slovak-0625,pred + instrumental,in front of; before,term
slovak-0626,škola,school,term
slovak-0627,tá,this; that (f; nom),term
slovak-0628,trvat',to last,term
slovak-0629,tuná,over here,term
slovak-0630,vidiek,the country,term
slovak-0631,víkend,weekend,term
slovak-0632,vlak,train,term
slovak-0633,to je vynikajúce,that's marvelous,sentence
slovak-0634,to sa mi páči,I like that,sentence
slovak-0635,bez,without,term
slovak-0636,cukor; -kru,sugar,term
slovak-0637,naopak,on the contrary,term
slovak-0638,no,but (mild),term
slovak-0639,pit',to drink,term
slovak-0640,pijem,I drink,term
slovak-0641,s + instrumental,with,term
slovak-0642,sladit',to sweeten; take sugar,term
slovak-0643,boli,they were,term
slovak-0644,sme boli,we were,sentence
slovak-0645,cestovat',to travel,term
slovak-0646,Mad'arsko,Hungary,term
slovak-0647,Nemecko,Germany,term
slovak-0648,páčit' sa,to please,term
slovak-0649,Rakúsko,Austria,term
slovak-0650,republika,republic,term
slovak-0651,sám,by oneself; alone,term
slovak-0652,Slovensko,Slovakia,term
slovak-0653,včera,yesterday,term
slovak-0654,zatial',so far; meanwhile,term
slovak-0655,ako sa vám tu páči?,how do you like it here?,sentence
slovak-0656,vel'mi sa mi tu páči,I like it here very much,sentence
slovak-0657,cestujeme vlakom,we travel by train,sentence
slovak-0658,krájame chlieb nožom,we cut bread with a knife,sentence
slovak-0659,cestujem s matkou,I'm travelling with my mother,sentence
slovak-0660,káva s mliekom,coffee with milk,term
slovak-0661,bez mlieka,without milk,term
slovak-0662,nad + instrumental,above,term
slovak-0663,pod námestím,beneath the square,term
slovak-0664,ročné obdobie,a season,term
slovak-0665,zima,winter,term
slovak-0666,jar,spring,term
slovak-0667,jeseň,autumn,term
slovak-0668,od jari do jesene,from spring to autumn,term
slovak-0669,lístok,a ticket,term
slovak-0670,prosím si spiatočný lístok,I'd like a return ticket,sentence
slovak-0671,prestupovat',to change (trains),term
slovak-0672,železničná stanica,train station,term
slovak-0673,cestovný poriadok,timetable,term
slovak-0674,príchody,arrivals (transport),term
slovak-0675,odchody,departures (transport),term
slovak-0676,nástupište,platform,term
slovak-0677,konečna stanica,last stop,term
slovak-0678,lietadlom,by plane,term
slovak-0679,letisko,airport,term
slovak-0680,letenka,air ticket,term
slovak-0681,na letisko prosím,to the airport please,term
slovak-0682,za vlakom,behind the train,term
slovak-0683,pred domom,in front of the house,term
slovak-0684,pod stromom,below the tree,term
slovak-0685,v zime,in winter,term
slovak-0686,v lete,in summer,term
slovak-0687,na jar,in spring,term
slovak-0688,na jeseň,in autumn,term
slovak-0689,zimný kabát,a winter coat,term
slovak-0690,letný deň,a summer day,term
slovak-0691,jarný dažd',spring rain,term
slovak-0692,jesenná hmla,autumn mist,term
slovak-0693,ako,how?,term
slovak-0694,bol,he was,term
slovak-0695,bola,she was,term
slovak-0696,neboli,they weren't,term
slovak-0697,mal,he had,term
slovak-0698,mala,she had,term
slovak-0699,mali,they had,term
slovak-0700,auto čakalo,the car waited,term
slovak-0701,hl'adali ste,you (pl) looked for,sentence
slovak-0702,išiel,he went,term
